id_contract;expenses;duty_count;refrigerated;id_payer;id_currency;direction;temperature;load_size_type;contract_type;euro_exchange_rate;id_service_type;first_load_lat;first_load_lon;last_unload_lat;last_unload_lon;route_start_lat;route_start_lon;route_end_lat;route_end_lon;first_load_country;last_unload_country;route_start_country;route_end_country;route_start_datetime;route_end_datetime;km_empty;km_nonempty;train_km;prim_train_line;train_intervals;ferry_duration;prim_ferry_line;ferry_intervals;km_total;max_weight
CdTe;;0;0;DbG;EUR;Z;"";F;GCA;4.6188;25;49.94;7.91;49.2015498;16.8821032;49.94;7.91;49.2015498;16.8821032;DE;CZ;DE;CZ;2020-10-30 08:30:00;2020-11-02 08:00:00;0;797;0;;0;0;;0;797;12000
IY4r;;0;0;DNn;PLN;D;"";F;FTL;4.6048;23;54.3482908;18.6540231;54.25785495;18.6501149439654;54.3482908;18.6540231;54.5164982;18.5402738;PL;PL;PL;PL;2020-11-02 23:00:00;2020-11-03 01:08:00;80;26;0;;0;0;;0;106;7001
wpih;;0;0;DNn;PLN;D;"";F;FTL;4.6048;23;54.3482908;18.6540231;54.25785495;18.6501149439654;54.3482908;18.6540231;54.3482908;18.71;PL;PL;PL;PL;2020-11-03 02:00:00;2020-11-03 04:25:00;28;26;0;;0;0;;0;54;6539
f2gu;;0;0;5QB;EUR;E;"";F;FTL;4.5865;23;53.13419145;20.3628829947204;52.4081812;-1.44;52.3019627;17.0455008;52.407731;17.0985754;PL;GB;PL;PL;2020-10-12 22:00:00;2020-11-02 19:15:00;559;520;1966;2;2;1320;68;2;1079;22000
48Ac;;0;0;jeF;EUR;E;"";F;FTL;4.5869;25;53.47251195;18.7618936768801;59.6190818;17.8775237;53.47251195;18.7618936768801;54.3850212;18.6840591;PL;SE;PL;PL;2020-10-15 13:30:00;2020-11-03 13:00:00;138;232;0;;0;2280;959;2;370;5390
krUH;;0;0;jeF;EUR;E;"";F;FTL;4.5877;25;53.3552257;17.4816228;51.67;4.83;54.0287383;19.0393963853836;52.407731;17.0985754;PL;NL;PL;PL;2020-10-20 10:00:00;2020-11-02 19:15:00;245;330;1817;330;2;0;;0;575;4054
xtlW;;0;0;jeF;EUR;E;"";F;FTL;4.5869;25;53.47251195;18.7618936768801;59.6190818;17.8775237;53.47251195;18.7618936768801;54.3850212;18.6840591;PL;SE;PL;PL;2020-10-15 09:30:00;2020-11-01 13:00:00;95;232;0;;0;2280;959;2;327;4186
H99y;;0;0;6q9;EUR;E;"";F;GCA;4.6048;25;54.25785495;18.6501149439654;53.0586366;14.2840858;54.25785495;18.6501149439654;53.0586366;14.2840858;PL;DE;PL;DE;2020-11-02 14:00:00;2020-11-03 08:00:00;0;417;0;;0;0;;0;417;24300
0jp6;;0;0;ADg;EUR;E;"";F;FTL;4.5865;25;51.741893;21.6682644;53.44246175;-2.32;50.5653105;22.0644075;52.407731;17.0985754;PL;GB;PL;PL;2020-10-15 18:00:00;2020-11-03 19:15:00;596;548;1966;2;2;1260;68;2;1144;12000
sxTH;;0;0;gyV;PLN;E;"";C;FTL;4.6189;23;53.1454649386364;17.9030420598614;60.4;24.97;53.1454649386364;17.9030420598614;54.5319595;18.51717;PL;FI;PL;PL;2020-10-26 10:00:00;2020-11-03 13:30:00;160;365;0;;0;2640;679;2;525;16000
Et03;;0;0;r4E;PLN;E;"";F;FTL;4.5877;25;52.7101225;16.3742272;53.07536855;-0.803576530747746;52.407731;17.0985754;51.9433212;4.1319299;PL;GB;PL;NL;2020-10-18 00:00:00;2020-11-01 07:00:00;172;373;983;2;1;1380;439;2;545;12000
0kmb;;0;0;1OD;PLN;D;"";F;FTL;4.633;25;54.3482908;18.6540231;54.25785495;18.6501149439654;54.3482908;18.6540231;54.3482908;18.71;PL;PL;PL;PL;2020-10-30 12:00:00;2020-11-02 07:19:00;18;16;0;;0;0;;0;34;17480
qm8K;;0;0;jeF;EUR;E;"";F;FTL;4.5772;25;51.7035234;17.9333058;57.78;14.19;51.7035234;17.9333058;54.3850212;18.6840591;PL;SE;PL;PL;2020-10-19 06:00:00;2020-11-01 13:00:00;338;646;0;;0;1770;65;2;984;4091
eYjY;;0;0;Jqh;EUR;I;"";F;FTL;4.6188;25;51.9244424;4.42;50.013064;22.0161434572943;51.94;4.13;50.013064;22.0161434572943;NL;PL;NL;PL;2020-10-27 11:30:00;2020-11-02 07:00:00;28;644;983;22;1;0;;0;672;25000
3fjL;;0;0;Jqh;EUR;I;"";F;FTL;4.6188;25;51.9244424;4.42;50.5653105;22.0644075;51.94;4.13;50.5653105;22.0644075;NL;PL;NL;PL;2020-10-27 10:00:00;2020-11-02 07:00:00;28;503;983;22;1;0;;0;531;25000
f7zU;;0;0;ADg;EUR;E;"";F;FTL;4.5869;25;51.741893;21.6682644;53.44246175;-2.32;51.071061;19.4498464062798;51.9433212;4.1319299;PL;GB;PL;NL;2020-10-16 22:00:00;2020-11-05 07:30:00;420;548;983;2;1;1320;68;2;968;12000
XRzP;;0;0;24y;PLN;E;"";F;FTL;4.6048;23;50.8089997;19.18;60.5288653;24.7582108;52.1865382;20.6076933;54.25785495;18.6501149439654;PL;FI;PL;PL;2020-10-28 11:00:00;2020-11-06 10:00:00;408;612;0;;0;2640;679;2;1020;15447.9
hkfU;;0;0;24y;PLN;E;"";F;FTL;4.6048;23;50.8089997;19.18;60.5288653;24.7582108;50.5646661;19.3248615663084;54.25785495;18.6501149439654;PL;FI;PL;PL;2020-10-29 00:00:00;2020-11-06 01:36:00;223;612;0;;0;2640;679;2;835;15447.9
prWy;;0;0;24y;PLN;E;"";F;FTL;4.6188;23;50.8089997;19.18;60.5288653;24.7582108;52.2367219;20.2571236136355;60.5288653;24.7582108;PL;FI;PL;FI;2020-10-28 09:00:00;2020-11-02 12:00:00;218;612;0;;0;1500;679;1;830;15447.9
